Player,Aliases
Auralia,Railana
Gruenberg,"Quintessence of Dust,The Dark Star Republic,Gruenberger Overseas Affiliate Territory,Schutzenphalia and West Ruhntuhnkuhnland,Hannasea,Graintfjall"
Omigodtheykilledkenny,"Schuttegod,Omigodtheyclonedkenny"
Unibot,"Unibotian WA Mission,Unibot II,Unibot III,Stash Kroh"
Goddess Relief Office,Anime Daisuki
Sciongrad,Connopolis
United Federation of Canada,"Chester Pearson,John Turner,Jean Pierre Trudeau,The Silver Sentinel,Wayneactia"
Defwa,The Defwaen Confederation
Bears Armed,"Bears Armed Mission,St Edmund"
Cowardly Pacifists,"Mosktopia,Losthaven"
Ainocra,The Ainocran Embassy
Yelda,New Leicestershire
Wallenburg,The Wallenburgian World Assembly Offices
Tinfect,"Tinfect Diplomatic Enclave"
Gorundu,"East Meranopirus"
Wrapper,"Imperial Polk County"
